GAME_NAME,GENRE
Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,Role-Playing
Payout Poker & Casino,Misc
Mega Man Anniversary Collection,Platform
Ghostbusters: The Video Game (DS Version),Action
The Fairly OddParents: Breakin Da Rules,Platform
Live-On DS,Action
Hello Kitty Daily,Misc
Penguin no Mondai: The World,Adventure
Starry ? Sky: In Spring,Misc
Might & Magic: Clash of Heroes,Role-Playing
Fallout Anthology,Action
Densha De Go! 2,Simulation
RealSports Football,Sports
Driver: Parallel Lines,Racing
Tactics Layer: Ritina Guard Senki,Strategy
Shin Megami Tensei x Fire Emblem,Role-Playing
Blazing Dragons,Adventure
Breath of Fire III,Role-Playing
Press Your Luck 2010 Edition,Misc
ScrapLand,Action
Serious Sam: Next Encounter,Shooter
Deer Hunter,Sports
Razor Freestyle Scooter,Sports
Disney's Donald Duck: Goin Quackers,Platform
SpongeBos Boating Bash,Misc
The IdolM@ster: One for All,Misc
Sub Rebellion,Simulation
Pro Cast Sports Fishing,Sports
Little Battlers eXperience W,Role-Playing
Time Crisis 3,Shooter
Naruto: Clash of Ninja Revolution 2,Fighting
We Cheer 2,Simulation
Surfing H3O,Sports
Lets Ride! Silver Buckle Stables,Sports
Marvel vs. Capcom 2: New Age of Heroes,Fighting
After Hours Athletes,Sports
Dungeon Siege II,Role-Playing
Rival Schools: United By Fate,Fighting
Rogue Trooper: Quartz Zone Massacre,Shooter
Hannah Montana: Rock Out the Show,Misc
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,Misc
Fantavision,Puzzle
The King of Fighters: Maximum Impact - Maniax,Fighting
New Play Control! Pikmin 2,Strategy
EyeToy Play 2,Misc
Tiggers Honey Hunt,Platform
The Dukes of Hazzard: Return of the General Lee,Racing
Narcissus: Moshimo Ashita ga Runara,Adventure
SimCity Creator (JP sales),Simulation
Mario Party 7,Misc
The Sims: Unleashed,Simulation
Jewel Time Deluxe,Puzzle
Arcade Shooting Gallery,Shooter
Muppet RaceMania,Racing
Backyard Wrestling: Dont Try This at Home,Fighting
Rango: The Video Game,Action
The King of Fighters XIII,Fighting
Challenge Me: Brain Puzzles,Puzzle
Frisbee Disc Freestyle / Frisbee Disc Golf,Sports
Sonic Lost World,Platform
Edel Blume,Adventure
Knights Apprentice: Memoricks Adventures,Action
Babysitting Mama,Simulation
Frogger Beyond,Platform
DuckTales: Remastered,Action
Robo Pit,Fighting
Global Defence Force,Shooter
Minna no Joushiki Ryoku TV,Misc
Airline Tycoon 2,Simulation
Trivial Pursuit unhinged,Misc
Final Fantasy VIII,Role-Playing
Classic NES Series: Xevious,Shooter
Barbie and Her Sisters Puppy Rescue,Action
Vampire Rain,Action
Ouran Koukou Host Bu DS,Adventure
Scooby-Doo! First Frights,Action
UnchainBlades EXXiV,Role-Playing
CMT Presents: Karaoke Revolution Country,Misc
Florist Shop,Simulation
Super Robot Taisen Z,Strategy
Hidden Objects: Mystery Stories,Adventure
NBA,Sports
Wreckin Crew,Racing
Harukanaru Toki no Naka de: Yumenoukihashi,Adventure
Grand Prix Challenge,Racing
Naruto: Rise of a Ninja,Action
Monsters vs. Aliens,Action
NBA Inside Drive 2004,Sports
Advance Guardian Heroes,Role-Playing
Empire Earth II,Strategy
NBA Showtime: NBA on NBC,Sports
Doraemon 2: Nobita no Toizurando Daibouken,Role-Playing
Brain Challenge,Misc
F1 2000,Racing
Guitar Hero: Van Halen,Misc
Dragon Quest Monsters: Caravan Heart,Role-Playing
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Fighting
ATV: Quad Frenzy,Racing
Tokyo Xanadu eX+,Role-Playing
Neo Angelique,Adventure
Assassins Creed III: Liberation,Action
Final Fantasy VII International,Role-Playing
Imabikisou,Adventure
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,Action
NFL Street,Sports
"My World, My Way (US sales)",Role-Playing
Dragon Ball Z: Extreme Butoden,Fighting
NBA 2K6,Action
Secret Service: Ultimate Sacrifice,Action
Tales of Graces,Role-Playing
Alien Syndrome,Role-Playing
Lord of Darkness,Action
Tales of Phantasia,Role-Playing
Dynasty Warriors 4,Action
Clue / Mouse Trap / Perfection / Aggravation,Misc
Blinx: The Time Sweeper,Platform
Sumikko Gurashi: Mura o Tsukurundesu,Misc
The Witcher: Enhanced Edition,Role-Playing
Just Dance 4,Misc
Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),Strategy
Dead Rising,Action
Jikkyou Powerful Pro Yakyuu 99 Ketteiban,Sports
Shrek Super Party,Misc
Burn Zombie Burn!,Shooter
Call of Duty: Modern Warfare: Mobilized,Shooter
Gunstar Super Heroes,Shooter
Horrid Henrys Horrid Adventure,Adventure
Petz: Catz 2,Simulation
Wii Sports Clu,Sports
Destruction Derby Arenas,Racing
TouchMaster: Connect,Puzzle
Ultraman Fighting Evolution 0,Fighting
Power Pro Kun Pocket 4,Sports
Sonic and the Black Knight,Platform
Rise of the Tomb Raider,Adventure
Heartful Simulator Pachi-Slot: To Heart 2,Action
Touch Detective Funghi Rhythm,Action
JU-ON: The Grudge,Action
EA Playground,Sports
SimEarth: The Living Planet,Simulation
Kingdom Hearts II,Role-Playing
Marvel Super Hero Squad: Comic Combat,Action
The Croods: Prehistoric Party!,Misc
Surf Riders,Sports
Michael Phelps: Push the Limit,Sports
Monster Hunter Tri,Role-Playing
Valkyrie Profile,Role-Playing
Starry ? Sky: In Winter,Misc
The Golf Clu,Sports
Night Wizard the Video Game: Denial of the World,Adventure
Call of Duty 3,Shooter
River City Ransom SP,Action
Turok: Evolution,Shooter
Soccer Tsuku DS: World Challenge 2010,Sports
Samurai Western,Action
Kirarin * Revolution: Kira Kira Idol Audition,Simulation
The Warriors,Action
Jawbreaker,Action
Langrisser V: The End of Legend,Strategy
Yakuman,Misc
VR Soccer 96,Sports
Age of Empires: The Age of Kings,Strategy
NHL FaceOff,Sports
Beach Spikers: Virtua Beach Volleyball,Sports
Super Baseball Simulator 1.000,Sports
SD Gundam G Generation Genesis,Strategy
Fallout: New Vegas,Role-Playing
Okami,Action
Power Pro Kun Pocket 2,Sports
Memories Off,Adventure
Harvest Moon: Friends of Mineral Town,Simulation
White Album: Tsuzurareru Fuyu no Omoide,Adventure
Order Up!!,Action
The Monkey King: The Legend Begins,Shooter
DeathSmiles,Shooter
Arabians Lost: The Engagement on Desert,Adventure
Super Mario 64,Platform
Rise of Nightmares,Action
The Elder Scrolls III: Morrowind,Role-Playing
Sugoi Hebereke,Fighting
Batman Beyond: Return of the Joker,Action
Cake Mania,Puzzle
Famicom Mini: Mappy,Platform
Learn Math,Puzzle
HBO Boxing,Fighting
Possession Magenta,Action
Nanairo Reincarnation,Action
Driver: Renegade,Racing
Steambot Chronicles: Battle Tournament,Fighting
Sonic Rivals 2,Racing
Quest 64,Role-Playing
Macross Triangle Frontier,Action
Despicable Me: The Game - Minion Mayhem,Puzzle
Hangman,Puzzle
Gekka Ryouran Romance,Adventure
No More Heroes: Red Zone,Action
DoDonPachi Dai-Oujou: Black Label Extra,Shooter
Buzz! The Mega Quiz,Misc
Winter Sports 3: The Great Tournament,Sports
Donkey Kong Land,Platform
Starhawk,Action
Monster Trux Arenas: Special Edition,Racing
Frogger 2: Swampys Revenge,Action
Kamigami no Asobi InFinite,Adventure
Ataris Greatest Hits: Volume 2,Misc
San-X Land: Theme Park de Asobou!,Action
Madden NFL 2004,Sports
Tomb Raider Chronicles,Action
Mahjong: Journey Quest for Tikal,Puzzle
Cruise Ship Vacation Games,Puzzle
Hallowed Legends: Samhain,Adventure
Gintama DS: Yorozuya Daisoudou,Action
NHL 10,Sports
Test Drive: Eve of Destruction,Racing
Best Of Tests,Puzzle
Gretzky NHL 2005,Sports
Point Blank 2,Shooter
Harry Potter and the Order of the Phoenix,Action
The God of War Trilogy,Action
Imagine: Makeup Artist,Simulation
Brothers: A Tale of Two Sons,Adventure
The Price is Right: Decades,Misc
Deadpool,Action
Tales of the World: Radiant Mythology 3,Role-Playing
Knights of Honor,Strategy
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,Misc
Dynasty Warriors 6 Empires,Action
Mystery Legends: Beauty and the Beast,Puzzle
Chromehounds,Simulation
Usavichi: Game no Jikan,Action
Tokyo Majin Gakuen: Kenfuuchou,Adventure
Famicom Mini: TwinBee,Shooter
Madden NFL 99,Sports
Guitar Hero,Misc
NASCAR 99,Racing
NCAA March Madness 2004,Sports
Kings Field (Japan),Role-Playing
Tony Hawks American Wasteland (Weekly american sales),Sports
Punch King,Fighting
Whiplash,Racing
Ryu-koku,Adventure
Killzone 2,Shooter
The Legend of Heroes III: Song of the Ocean,Role-Playing
Wayne Gretzkys 3D Hockey 98,Sports
Opoona,Role-Playing
Shin Megami Tensei,Role-Playing
Super Hero Generation,Role-Playing
Pro Yaky? Spirits 4,Sports
Ms. Pac-Man: Maze Madness,Puzzle
Dead or Alive 2,Fighting
Virtua Tennis,Sports
Sengoku Basara 4,Action
3D Dot Game Heroes,Role-Playing
Dragon Warrior II,Role-Playing
The Great Escape,Action
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,Role-Playing
GunPey,Puzzle
Dragon Ball: Fusions,Role-Playing
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,Misc
Samurai Jack: The Shadow of Aku,Action
Devil May Cry 3: Dantes Awakening,Action
Clannad,Adventure
Point Blank 3,Shooter
Ninja Gaiden: Dragon Sword,Action
Virtual Hydlide,Role-Playing
Marvel Super Heroes,Fighting
Balloon Pop 2,Puzzle
Virtua Tennis: World Tour (jp sales),Sports
Battlefield 4,Shooter
Rocky,Fighting
Silent Scope 2: Dark Silhouette,Shooter
Tetris Party Deluxe,Puzzle
ATV Offroad Fury Pro,Racing
Naruto Shippuden: Ninja Council 4,Action
Grand Slam,Misc
Doraemon: Nobita no Kyouryuu 2006 DS,Role-Playing
Red Steel 2,Shooter
Tales of Symphonia: Dawn of the New World,Role-Playing
Classic Word Games,Misc
Men of War: Vietnam,Strategy
Kami Naru Kimi to,Adventure
Hoppie,Platform
Victorious Boxers: Ippos Road to Glory,Fighting
Star Wars: Masters of Teras Kasi,Action
And1 Streetball,Action
Football Manager 2016,Simulation
Final Fantasy Tactics Advance,Role-Playing
Attack on Titan (KOEI),Action
Prince of Persia: Rival Swords,Action
Marker Man Adventures,Platform
My Weight Loss Coach,Sports
Magical Tetris Challenge,Puzzle
Gauntlet / Rampart,Misc
Killing Zone,Fighting
TimeSplitters,Shooter
Death Jr. II: Root of Evil,Platform
Memories Off: Yubikiri no Kikou,Adventure
High Heat Major League Baseball 2004,Sports
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,Sports
Lets Play Garden,Simulation
Pokemon Diamond/Pokemon Pearl,Role-Playing
Destroy All Humans!,Shooter
Warcraft III: Reign of Chaos,Strategy
Frankensteins Monster,Action
LittleBigPlanet 3,Platform
Spelling Challenges and more!,Misc
Virtua Tennis 4,Sports
Operation Flashpoint: Dragon Rising,Shooter
Shrek SuperSlam,Action
Smash Court Tennis 3,Sports
Derby Stallion,Sports
Super Monkey Ball 2,Puzzle
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,Strategy
We Sing (2016),Misc
Mystery Dungeon: Shiren the Wanderer,Role-Playing
Top Spin 4,Sports
Mega Man Battle Network 6: Cybeast Falzar / Gregar,Role-Playing
Crime Scene,Adventure
ThunderStrike 2,Simulation
NHL 2004,Sports
Off Road Challenge,Racing
Fighter Maker,Fighting
Blokus Portable: Steambot Championship,Puzzle
Battle Arena Toshinden,Fighting
Brain Age: Concentration Training,Puzzle
Harukanaru Toki no Naka de 5,Role-Playing
Online Chess Kingdoms,Misc
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,Role-Playing
R4: Ridge Racer Type 4,Racing
Earth Defense Force 2017 Portable,Action
Lilpri DS: Hime-Chen! Apple Pink,Adventure
Divinity: Original Sin,Role-Playing
Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),Action
C: The Contra Adventure,Shooter
Bakumatsu Rock: Ultra Soul,Misc
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,Misc
Turn It Around,Action
Sakura Wars,Adventure
Ninja Assault,Shooter
Duke Nukem Advance,Shooter
Rayman 2: Revolution,Platform
Midnight Club 3: DUB Edition Remix,Racing
Dragon Quest Builders: Revive Alefgard,Role-Playing
Untold Legends: Dark Kingdom,Role-Playing
Boku no Natsuyasumi 2: Umi no Bouken Hen,Adventure
Carnage Heart,Strategy
Red Faction,Shooter
Rudra no Hihou,Role-Playing
Minna no Chizu,Misc
Valkyria Chronicles III: Unrecorded Chronicles,Strategy
Trinity Universe,Role-Playing
Worms,Strategy
Constantine,Action
Aikatsu! 365 Idol Days,Adventure
Speed Racer: The Videogame,Racing
Porkys,Action
Madden NFL 98,Sports
Superman: The New Superman Adventures,Action
Doukyuusei 2,Role-Playing
Rec Room Games,Sports
Command & Conquer 3: Deluxe Edition,Strategy
My Virtual Tutor: Reading Adventure First to Second Grade,Misc
Mario & Sonic at the Olympic Winter Games,Sports
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,Misc
Mr. Driller: Drill Spirits,Puzzle
Burnout 2: Point of Impact,Racing
Armored Core 2,Simulation
Onigokko! Portable,Adventure
Wild West Shootout,Shooter
Bomberman Land Touch!,Puzzle
NERF N-Strike: Double Blast Bundle,Shooter
Minds and Mystery: 5 Game Pack,Action
Caspers Scare School: Spooky Sports Day,Sports
Mortal Kombat 3,Fighting
Karate,Fighting
Resonance of Fate,Role-Playing
Nil Admirari no Tenbin: Teito Genwaku Toukidan,Adventure
Gem Quest: 4 Elements,Puzzle
MLB 10: The Show,Sports
Barnyard,Action
Backyard Skateboarding 2006,Sports
FlatOut 2,Racing
Homeworld 2,Strategy
Lost Dimension,Role-Playing
Nervous Brickdown,Puzzle
Jet Impulse,Simulation
Dragon Ball Z Super Gokuden: Kakusei-Hen,Role-Playing
MX vs. ATV Reflex,Racing
Front Mission 3,Strategy
Scene It? Box Office Smash,Misc
F.E.A.R.,Shooter
Samurai Warriors 4-II,Action
Doom 3,Shooter
The Story of Noahs Ark,Action
SD Gundam G Generation Spirits,Strategy
Konami Classics Vol. 2,Misc
Drome Racers,Racing
Psychic Force,Fighting
Star Wars Battlefront: Renegade Squadron,Shooter
thinkSMART Kids 8+,Misc
Just Sing!,Misc
Mario vs. Donkey Kong: Tipping Stars,Puzzle
NCAA Football 12,Sports
Super Formation Soccer 94,Sports
Namco Museum DS,Misc
Penny Racers Party: Turbo-Q Speedway,Racing
Duel Masters,Strategy
Hakuoki: Stories of the Shinsengumi,Adventure
Sky Gunner,Action
One Piece: Pirate Warriors,Action
Groovin Blocks,Puzzle
Dead or Alive Xtreme Beach Volleyball,Sports
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,Misc
SkullMonkeys,Platform
ClaDun Sengoku,Action
Raiden IV,Shooter
Puyo Puyo Sun 64,Puzzle
Hasbro Family Game Night Fun Pack,Misc
Pokemon Rumble Blast,Action
Wolfenstein: The Old Blood,Action
Colin McRae Rally 2005 plus,Racing
The Polar Express,Adventure
Jake Power: Handyman,Adventure
Tokimeki Memorial 4,Adventure
DS Dengeki Bunko ADV: Baccano!,Adventure
The Activision Decathlon,Sports
High Velocity Bowling,Sports
Tail of the Sun,Role-Playing
Otometeki Koi Kakumei * Love Revo,Adventure
Gladius,Strategy
Yoga Wii,Sports
World Cup 98 France: Road to Win,Sports
Top Angler: Real Bass Fishing,Sports
