GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
Tekken Tag Tournament,PS2,Namco Bandai Games,2000
Star Fox 64,N64,Nintendo,1997
Golf,NES,Nintendo,1984
Tom Clancys The Division,PS4,Ubisoft,2016
Assassins Creed: Unity,PS4,Ubisoft,2014
Namco Museum: 50th Anniversary,PS2,Namco Bandai Games,2005
Left 4 Dead 2,X360,Electronic Arts,2009
Fallout 3,PS3,Bethesda Softworks,2008
The Legend of Zelda: Skyward Sword,Wii,Nintendo,2011
Professor Layton and the Diabolical Box,DS,Nintendo,2007
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,2011
Nintendogs + cats,3DS,Nintendo,2011
Monster Hunter 4 Ultimate,3DS,Nintendo,2014
Star Wars Battlefront (2015),XOne,Electronic Arts,2015
Donkey Kong Land,G,Nintendo,1994
EA Sports Active,Wii,Electronic Arts,2009
NBA 2K16,PS4,Take-Two Interactive,2015
Tony Hawks Underground,PS2,Activision,2003
Tekken 5,PS2,Namco Bandai Games,2005
Dragon Warrior III,NES,Enix Corporation,1988
MotorStorm,PS3,Sony Computer Entertainment,2006
World Soccer Winning Eleven 8 International,PS2,Konami Digital Entertainment,2004
Sports Champions,PS3,Sony Computer Entertainment,2010
Namco Museum Vol.1,PS,Sony Computer Entertainment,1995
Call of Duty: Ghosts,PS4,Activision,2013
The Legend of Zelda: Links Awakening,G,Nintendo,1992
Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,2007
Big Brain Academy: Wii Degree,Wii,Nintendo,2007
Resident Evil Directors Cut,PS,Virgin Interactive,1996
Mario & Luigi: Bowsers Inside Story,DS,Nintendo,2009
LEGO Indiana Jones: The Original Adventures,X360,Activision,2008
The Sims: Unleashed,PC,Electronic Arts,2002
Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,2007
Harry Potter and the Sorcerers Stone,PS,Electronic Arts,2001
Assassins Creed IV: Black Flag,PS3,Ubisoft,2013
Mario & Sonic at the London 2012 Olympic Games,Wii,Sega,2011
Resident Evil 3: Nemesis,PS,Eidos Interactive,1999
Super Paper Mario,Wii,Nintendo,2007
Spyro: Year of the Dragon,PS,Sony Computer Entertainment,2000
FIFA Soccer 2005,PS2,Electronic Arts,2004
Pok\xc3\xa9mon Trading Card Game,G,Nintendo,1998
Friend Collection,DS,Nintendo,2009
Tony Hawks Pro Skater 4,PS2,Activision,2002
MySims,DS,Electronic Arts,2007
Midnight Club 3: DUB Edition,PSP,Take-Two Interactive,2005
Banjo-Kazooie,N64,Nintendo,1998
SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment,2002
Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,2001
Pokemon Snap,N64,Nintendo,1999
Pro Evolution Soccer 2008,PS2,Konami Digital Entertainment,2007
Resident Evil 4,PS2,Capcom,2005
FIFA Soccer 10,PS3,Electronic Arts,2009
Guitar Hero: World Tour,Wii,Activision,2008
Battlefield 4,PS4,Electronic Arts,2013
Star Wars: Battlefront,PS2,LucasArts,2004
Doom II: Hell on Earth,PC,Virgin Interactive,1994
The Simpsons: Road Rage,PS2,Electronic Arts,2001
Luigis Mansion,GC,Nintendo,2001
Just Dance 2014,Wii,Ubisoft,2013
Star Wars: Battlefront II,PS2,LucasArts,2005
Cooking Mama 2: Dinner With Friends,DS,505 Games,2007
WWF SmackDown!,PS,THQ,2000
Croc: Legend of the Gobbos,PS,Fox Interactive,1997
Call of Duty: Infinite Warfare,XOne,Activision,2016
Assassins Creed: Unity,XOne,Ubisoft,2014
Grand Theft Auto: Liberty City Stories,PS2,Take-Two Interactive,2006
The Getaway,PS2,Sony Computer Entertainment,2002
Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive,1997
James Bond 007: Agent Under Fire,PS2,Electronic Arts,2001
LEGO Star Wars: The Video Game,PS2,Eidos Interactive,2005
Rugrats in Paris: The Movie,PS,THQ,2000
