GAME_NAME,PLATFORM,PUBLISHER,YEAR_OF_RELEASE
Cold Stone Creamery: Scoop It Up,Wii,Zoo Games,2009
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,D3Publisher,2009
My Pet Shop,DS,Square Enix,2008
Nicola Kanshuu: Model * Oshare Audition,DS,Alchemist,2010
Kururin Paradise,GBA,Unknown,2002
Gradius Collection,PSP,Konami Digital Entertainment,2006
Kiniro no Corda 2,PS2,Tecmo Koei,2007
Dynasty Warriors Vs,3DS,Ackkstudios,2012
Fist of the North Star: Kens Rage 2,X360,Tecmo Koei,2012
Gallop Racer 2004,PS2,Zoo Digital Publishing,2004
Sunrise Eiyuutan R,PS2,Sunrise Interactive,2000
Rayman: Hoodlums Revenge,GBA,Ubisoft,2005
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,Namco Bandai Games,2004
F1 2001,X,Electronic Arts,2001
Fishing Master (jp sales),Wii,Konami Digital Entertainment,2007
Zill Oll Infinite Plus,PSP,Tecmo Koei,2009
Tonka Rescue Patrol,GC,TDK Mediactive,2003
GunGriffon II,SAT,ESP,1998
Crimson Gem Saga,PSP,Sega,2008
Monster Tale,DS,Majesco Entertainment,2011
Legend of the Dragon,Wii,Game Factory,2007
Digimon All-Star Rumble,X360,Namco Bandai Games,2014
Cel Damage,GC,Electronic Arts,2002
Backyard Hockey,DS,Atari,2007
Famicom Mini: Balloon Fight,GBA,Nintendo,2004
Steins;Gate: Senkei Kousoku no Phonogram,PS3,5p,2013
Sprung - A Game Where Everyone Scores,DS,Ubisoft,2004
Seaman 2: Peking Genjin Ikusei Kit,PS2,Sega,2007
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,DS,Namco Bandai Games,2008
Tony Hawks Pro Skater 5,PS3,Activision,2015
The Pinball of the Dead,GBA,Sega,2002
Growlanser IV: Over Reloaded,PSP,Atlus,2011
The Amazing Spider-Man 2 (2014),3DS,Activision,2014
Arc the Lad: End of Darkness,PS2,Sony Computer Entertainment,2004
Tom Clancys Splinter Cell: Pandora Tomorrow,GBA,Ubisoft,2004
The King of Route 66,PS2,Sega,2003
Game Center CX: 3-Choume no Arino,3DS,Namco Bandai Games,2014
Western Riding Academy,DS,Destineer,2010
"Warhammer 40,000: Squad Command",DS,THQ,2007
Intellivision Lives!,GC,Crave Entertainment,2004
Bubble Bobble also featuring Rainbow Islands,PS,Acclaim Entertainment,1995
Tokobot,PSP,Take-Two Interactive,2005
Monster Madness: Grave Danger,PS3,SouthPeak Games,2008
Panzer Tactics,DS,10TACLE Studios,2007
Pro Yaky? Spirits 2013,PSV,Konami Digital Entertainment,2013
Robotica,SAT,Sega,1994
Deathrow: Underground Team Combat,X,Ubisoft,2002
Land of the Dead: Road to Fiddlers Green,X,Groove Games,2005
Paws & Claws: Marine Rescue,DS,THQ,2011
Lego Batman 3: Beyond Gotham,PC,Warner Bros. Interactive Entertainment,2014
R-Types,PS,Virgin Interactive,1998
Star Fighter,PS,Telstar,1995
NHL 2K9,Wii,Take-Two Interactive,2008
Kuukan * Zukei: Hirameki Training - KuuTore,DS,Benesse,2008
Osu! Tatakae! Ouendan,DS,Nintendo,2005
Jewels of the Ages,DS,City Interactive,2011
Pro Evolution Soccer 2015,PC,Konami Digital Entertainment,2014
Dissidia: Final Fantasy Universal Tuning,PSP,Square Enix,2009
Fast Food Panic,Wii,Nobilis,2009
Johnny Test,DS,505 Games,2011
Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,Namco Bandai Games,2011
The Legend of Heroes: Trails in the Sky Second Chapter,PSP,Falcom Corporation,2007
SaGa: Scarlet Grace,PSV,Square Enix,2016
Bionicle Heroes,DS,Eidos Interactive,2006
Mystic Heroes,PS2,Tecmo Koei,2002
Doraemon: Nobita no Uchuu Eiyuuki,3DS,FuRyu,2015
Tron 2.0: Killer App,GBA,Disney Interactive Studios,2004
Jurassic Park III: Park Builder,GBA,Konami Digital Entertainment,2001
Unchained Blades ,PSP,FuRyu,2011
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,Namco Bandai Games,2011
Santa Claus Is Comin to Town!,DS,Crave Entertainment,2011
Octomania,Wii,Midas Interactive Entertainment,2007
Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,Namco Bandai Games,2008
Showtime Championship Boxing,Wii,Zoo Digital Publishing,2007
Genkai Tokki: Moero Crystal,PSV,Compile Heart,2015
LEGO Bionicle,GBA,LEGO Media,2001
Power Shovel,PS,JVC,2000
Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo! ,3DS,Namco Bandai Games,2014
Bomberman Land,PSP,Hudson Entertainment,2007
Steins;Gate,PS3,PQube,2012
Jewel Link Chronicles: Mountains of Madness,DS,Avanquest,2012
MLB Power Pros 2008,DS,Take-Two Interactive,2008
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,Pack-In-Video,1995
Generator Rex: Agent of Providence,X360,Activision,2011
My Pet Chimp,DS,505 Games,2010
Chrysler Classic Racing,Wii,Zoo Games,2008
Spy Games: Elevator Mission,Wii,Tommo,2007
The Book of Unwritten Tales: The Critter Chronicles,PC,Crimson Cow,2011
Strike Force Bowling,GC,Crave Entertainment,2005
Earth Defense Force 2017 Portable,PSV,D3Publisher,2012
Age of Empires Online,PC,Microsoft Game Studios,2011
A-Train: City Simulator,3DS,ArtDink,2014
Spy Fox in Dry Cereal,Wii,Majesco Entertainment,2008
Atelier Iris 2: The Azoth Of Destiny,PS2,Tecmo Koei,2005
There,PS,Infogrames,2002
Jewel Quest IV: Heritage,DS,iWin,2011
Championship Surfer,PS,Mattel Interactive,2000
Tokimeki no Houkago,PS,Konami Digital Entertainment,1998
Hakuoki: Stories of the Shinsengumi,PS3,Idea Factory,2010
Di-Gata Defenders,DS,Game Factory,2008
Monster Garage,X,Activision Value,2004
Atelier Sophie: The Alchemist of the Mysterious Book,PSV,Tecmo Koei,2015
Akai Katana Shin,X360,Cave,2011
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,Namco Bandai Games,2014
Tecmo Classic Arcade,X,Microsoft Game Studios,2005
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Sega,2005
Mad Maestro!,PS2,Eidos Interactive,2001
Densha De Go! 3 Tsuukinhen,PS2,Taito,2001
The LEGO Movie Videogame,PC,Warner Bros. Interactive Entertainment,2014
Biker Mice From Mars,PS2,Game Factory,2006
Caligula,PSV,FuRyu,2016
Star Wars Knights of the Old Republic II: The Sith Lords,PC,LucasArts,2005
From The Abyss,DS,Nobilis,2008
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,PSP,Daito,2006
Sudoku Ball Detective,DS,Playlogic Game Factory,2009
MX vs. ATV Supercross,X360,Nordic Games,2014
Risen 3: Titan Lords,PS4,Deep Silver,2015
Transformer: Rise of the Dark Spark,WiiU,Activision,2014
Giants: Citizen Kabuto,PS2,Interplay,2001
Kamen Rider: Battride War Genesis,PS4,Namco Bandai Games,2016
Steins;Gate,X360,5p,2009
Alone in the Dark,PS2,Atari,2008
Muppets Party Cruise,PS2,TDK Mediactive,2003
Guilty Gear XX Accent Core Plus,PS2,PQube,2008
Higurashi Daybreak Portable,PSP,Alchemist,2008
Barbie Horse Adventures: Wild Horse Rescue,X,Vivendi Games,2003
Shonen Jumps One Piece: Grand Battle,GC,Namco Bandai Games,2005
Blast Lacrosse,PS,Acclaim Entertainment,2001
Imagine: Gymnast,DS,Ubisoft,2008
Tokyo Twilight Ghost Hunters,PS3,Aksys Games,2014
Backyard NFL Football 10,PS2,Atari,2009
Kikou Heidan J-Phoenix,PS2,Takara,2001
DreamWorks Super Star Kartz,X360,Activision,2011
Legend of Kay,DS,JoWood Productions,2010
Shonen Jumps Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,Konami Digital Entertainment,2005
Bubble Bobble: Old & New,GBA,Empire Interactive,2002
Speed,Wii,Unknown,2010
Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,Takara Tomy,2010
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,Sega,2012
Kekkon: Marriage,SAT,Shogakukan,1995
Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,Namco Bandai Games,2014
Nicola Kanshuu: Model * Oshare Audition 2,3DS,Alchemist,2011
KimiKiss,PS2,Enterbrain,2006
Cold Fear,X,Ubisoft,2005
Challenge Me: Brain Puzzles,DS,Oxygen Interactive,2009
Utawarerumono: Itsuwari no Kamen,PS4,Aqua Plus,2015
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,D3Publisher,2010
Shining Force Feather,DS,Sega,2009
Kurupoto Cool Cool Stars,DS,Starfish,2007
Theme Park,DS,Electronic Arts,2007
The Next BIG Thing,PC,Focus Home Interactive,2011
Cocoto Kart Racer,Wii,Conspiracy Entertainment,2008
Blur,PC,Activision,2010
Mobile Suit Gundam 00: Gundam Meisters,PS2,Namco Bandai Games,2008
Imagine: Cheerleader,DS,Ubisoft,2009
Call of Cthulhu: Dark Corners of the Earth,X,Take-Two Interactive,2005
The Great Escape,X,SCi,2003
Secret Files: Tunguska,Wii,Koch Media,2008
Metal Gear Solid: Social Ops,PS2,Konami Digital Entertainment,2002
Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,TDK Core,2006
PenPen TriIceLon,DC,Infogrames,1998
Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,DS,Konami Digital Entertainment,2008
SBK 2011: FIM Superbike World Championship,X360,Black Bean Games,2011
Salt Lake 2002,GBA,Ubisoft,2002
The Legend of Heroes VII: The Trail of Blue,PSV,Nihon Falcom Corporation,2014
DropCast,DS,THQ,2008
Alien Syndrome,Wii,Sega,2007
Vexx,GC,Acclaim Entertainment,2003
Crazy Chicken Tales,Wii,Conspiracy Entertainment,2009
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,Namco Bandai Games,2010
Mega Man Battle Network 5: Double Team DS (US sales),DS,Nintendo,2005
Batman: Rise of Sin Tzu,GC,Ubisoft,2003
EverQuest II: Destiny of Velious,PC,Sony Online Entertainment,2011
Unreal Tournament III,PC,Midway Games,2007
Disney Sports Skateboarding,GC,Konami Digital Entertainment,2002
Mahouka Koukou no Rettousei: Out of Order,PSV,Namco Bandai Games,2014
Adventure Time: Finn & Jake Investigations,XOne,Little Orbit,2015
Call of Duty 2,PC,Activision,2005
Summon Night 2,DS,Namco Bandai Games,2008
Chou Soujuu Mecha MG,DS,Nintendo,2006
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,Activision,2016
Pro Evolution Soccer 2012,PS2,Konami Digital Entertainment,2011
Greys Anatomy: The Video Game,Wii,Ubisoft,2009
Arkanoid DS,DS,Square Enix,2007
Terminator 3: The Redemption,X,Atari,2004
Big Bang Mini,DS,SouthPeak Games,2009
Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,Namco Bandai Games,2012
Chevrolet Camaro: Wild Ride,Wii,Storm City Games,2010
MotoGP 10/11,X360,Capcom,2011
Neon Genesis Evangelion,N64,Namco Bandai Games,1999
Serious Sam II,X,Take-Two Interactive,2005
JoJos Bizarre Adventure: All Star Battle,3DS,Take-Two Interactive,2012
Cabelas Big Game Hunter (2008),X360,Activision Value,2007
Another Code R: A Journey into Lost Memories,Wii,Nintendo,2009
Dead Rising 2: Off the Record,PC,Capcom,2011
World Series of Poker 2008: Battle for the Bracelets,DS,Activision,2007
ICO,PS3,Sony Computer Entertainment,2011
Flipnic: Ultimate Pinball,PS2,Ubisoft,2003
Eigo de Tabisuru: Little Charo,DS,Nintendo,2011
NBA Hangtime,PS,Midway Games,1996
The Witcher,PC,Atari,2007
Dreamer Series: Zoo Keeper,DS,DreamCatcher Interactive,2010
Busy Scissors,DS,Little Orbit,2010
S.T.A.L.K.E.R.: Call of Pripyat,PC,Namco Bandai Games,2009
D.C. II P.S.: Da Capo II Plus Situation,PS2,Kadokawa Shoten,2008
Marvel Super Heroes,SAT,Capcom,1997
Penny Racers,N64,THQ,1998
Star Soldier: Vanishing Earth,N64,Hudson Entertainment,1998
Bust-A-Move 99,N64,Acclaim Entertainment,1998
Olympic Hockey 98,N64,GT Interactive,1998
CyberTiger,N64,Electronic Arts,2000
Brunswick Circuit Pro Bowling,N64,THQ,1999
Top Gear Hyper-Bike,N64,Kemco,1999
Polaris SnoCross,N64,Vatical Entertainment,2000
Virtual Chess 64,N64,Titus,1998
S.C.A.R.S,N64,Ubisoft,1998
Mike Piazzas Strike Zone,N64,GT Interactive,1998
Worms Blast,GC,Ubisoft,2002
Prinny: Can I Really Be The Hero? (US sales),PSP,Tecmo Koei,2008
Fosters Home for Imaginary Friends: Imagination Invaders,DS,Midway Games,2007
Coded Arms: Contagion,PSP,Konami Digital Entertainment,2007
Smile PreCure! Lets Go! Marchen World,3DS,Namco Bandai Games,2012
A New Beginning,PC,Deep Silver,2010
IHRA Professional Drag Racing 2005,X,Bethesda Softworks,2004
MotorStorm RC,PSV,Sony Computer Entertainment,2012
Tokyo Xtreme Racer Advance,GBA,Crave Entertainment,2005
Create,PC,Electronic Arts,2010
Disney's Kim Possible: Global Gemini,DS,Disney Interactive Studios,2007
Rock Blast,DS,UFO Interactive,2008
I Love Beauty: Hollywood Makeover,DS,City Interactive,2009
World Cup of Pool,DS,Midas Interactive Entertainment,2009
Santa Claus Is Comin to Town!,Wii,Crave Entertainment,2011
Miracle Girls Festival,PSV,Sega,2015
Combat Elite: WWII Paratroopers,PS2,SouthPeak Games,2005
Power Pro Success Legends,PSP,Konami Digital Entertainment,2010
Killer Loop,PS,Crave Entertainment,1999
Cabelas Dangerous Hunts: Ultimate Challenge,PSP,Activision Value,2006
Little League World Series Baseball 2008,DS,Activision,2008
Worldwide Soccer,SAT,Sega,1994
Toriko: Gourmet Battle!,3DS,Namco Bandai Games,2013
Puzzler Collection,Wii,Ubisoft,2008
Showtime Championship Boxing,DS,Zoo Digital Publishing,2007
Commandos: Strike Force,PS2,Eidos Interactive,2006
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,Namco Bandai Games,2004
Rapala Pro Fishing,GBA,Zoo Digital Publishing,2004
Star Trek: Tactical Assault,DS,Ubisoft,2006
Guilty Gear X: Advance Edition,GBA,Sammy Corporation,2002
Fate/Tiger Colosseum Upper,PSP,Capcom,2008
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,Rocket Company,2009
Warriors of the Lost Empire,PSP,Mercury Games,2007
Pop Cutie! Street Fashion Simulation,DS,Tecmo Koei,2008
Ford Racing 3,GBA,Zoo Digital Publishing,2005
Samurai Warriors 4: Empires,PS3,Tecmo Koei,2015
PachiPara 13: Super Umi no Pachi-Pro Fuuunroku,PS2,Irem Software Engineering,2006
World Soccer Winning Eleven 9 (US sales),PSP,Konami Digital Entertainment,2005
Lord of Magna: Maiden Heaven,3DS,Marvelous Entertainment,2014
Oddworld: Munchs Oddysee,GBA,THQ,2003
Winning Post 4 Maximum,PS2,Tecmo Koei,2000
Xiaolin Showdown,PSP,Konami Digital Entertainment,2006
Exhibition Volume 5,X,Microsoft Game Studios,2004
Record of Lodoss War: Eiyuu Sensou,SCD,Sega,1994
Starry ? Sky: In Summer,PSP,Asgard,2010
Pro Yakyuu Netsu Star 2007,PS2,Namco Bandai Games,2007
Klonoa Beach Volleyball,PS,Namco Bandai Games,2002
Melty Blood: Actress Again,PS2,Ecole,2009
3D Lemmings,PS,Psygnosis,1995
Hi Hi Puffy AmiYumi: Kaznapped,GBA,D3Publisher,2005
Broken Sword: The Shadow of the Templars,GBA,BAM! Entertainment,2002
Resident Evil - Code: Veronica X,GC,Capcom,2003
Magi: Aratanaru Sekai,3DS,Namco Bandai Games,2014
SpongeBob SquarePants: Planktons Robotic Revenge,3DS,Activision,2013
Zoo Tycoon: Complete Collection,PC,Microsoft Game Studios,2003
Tenchi Muyou! Ryoukouki Gokuraku,SAT,Yumedia,1995
Kelly Slaters Pro Surfer,GC,Activision,2002
Project Setsuna,PSV,Square Enix,2016
I Am In The Movie,PSP,Namco Bandai Games,2012
Trapt,PS2,Tecmo Koei,2005
Splat Renegade Paintball,X,Take-Two Interactive,2005
Metal Max 4: Gekkou no Diva,3DS,Kadokawa Shoten,2013
Worms 3D,X,Sega,2003
Street Fighter V,PC,Capcom,2016
Playmobil Knights,DS,Mindscape,2009
Noddy in Toyland,DS,GSP,2011
Sacred 2: Fallen Angel,PC,Ascaron Entertainment GmbH,2008
Adventure Time: The Secret of the Nameless Kingdom,X360,Little Orbit,2014
PoPoLoCrois,PSP,Ignition Entertainment,2005
Dragon Rage,PS2,3DO,2001
Theresia...,DS,Arc System Works,2008
Dance Sensation!,Wii,Majesco Entertainment,2010
Syndicate,PC,Electronic Arts,1992
ZombiU,PS4,Ubisoft,2016
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,Konami Digital Entertainment,2005
Jumper: Griffins Story,X360,Eidos Interactive,2008
Raw Danger! (JP sales),PS2,505 Games,2006
Archer Maclean Presents: Pool Paradise,PS2,Ignition Entertainment,2004
Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,Nintendo,2006
pro evolution soccer 2011,PC,Konami Digital Entertainment,2010
Samurai Warriors 4: Empires,PSV,Tecmo Koei,2015
Backyard Skateboarding 2006,GBA,Atari,2004
Neverland Card Battles,PSP,Idea Factory,2008
Tron 2.0: Killer App,X,Disney Interactive Studios,2004
Steins;Gate: Hiyoku Renri no Darling,PSP,5p,2012
Call of Duty: The War Collection,X360,Activision,2010
Gegege no Kitarou: Youkai Daigekisen,DS,Namco Bandai Games,2008
Dig Dug: Digging Strike,DS,Atari,2005
FIFA Soccer 07,DS,Electronic Arts,2006
Emblem of Gundam,DS,Namco Bandai Games,2008
Satisfashion,DS,Destineer,2010
The Fast and the Furious,PS2,Namco Bandai Games,2006
Pheasants Forever Wingshooter,Wii,Unknown,2010
Imagine: Resort Owner,DS,Ubisoft,2010
G-Police: Weapons of Justice,PS,Psygnosis,1999
Paws & Claws: Pampered Pets 2,DS,THQ,2011
All Kamen Rider: Rider Generation 2,PSP,Namco Bandai Games,2012
Killing Zone,PS,Acclaim Entertainment,1996
Policenauts,3DO,Konami Digital Entertainment,1995
Adventures of Lolo,NES,HAL Laboratory,1989
Quiz! Hexagon II,DS,Namco Bandai Games,2010
Vampire Rain: Altered Species,PS3,Ignition Entertainment,2008
The History Channel: Battle for the Pacific,X360,Activision,2007
Bladestorm: Nightmare,XOne,Tecmo Koei,2015
Racing Gears Advance,GBA,Zoo Digital Publishing,2004
Syphon Filter: Logans Shadow,PS2,Sony Computer Entertainment,2010
NTRA Breeders Cup World Thoroughbred Championships,X,Bethesda Softworks,2005
Mayhem 3D,PS3,Evolved Games,2011
Inversion,X360,Namco Bandai Games,2012
Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,PS2,Paon,2008
Need for Speed: Shift,PC,Electronic Arts,2009
Chaos Rings III,PSV,Square Enix,2014
Tanjou S Debut,SAT,NEC Interchannel,1996
Legend of Kay,WiiU,Nordic Games,2015
Zoo Tycoon 2,PC,Microsoft Game Studios,2004
Nendoroid Generation,PSP,Namco Bandai Games,2012
Popn TwinBee: Rainbow Bell Adventure,SNES,Konami Digital Entertainment,1993
Mercury Meltdown,PSP,Atari,2006
Broken Helix,PS,Konami Digital Entertainment,1997
Crazy Chicken: Pharaohs Treasure,DS,Phenomedia,2007
Brave: A Warriors Tale,X360,SouthPeak Games,2009
Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,Marvelous Interactive,2010
Myst III: Exile,X,Ubisoft,2002
Hajime no Ippo Portable: Victorious Spirits,PSP,Grand Prix Games,2007
Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,Takara Tomy,2007
CMT Presents: Karaoke Revolution Country,PS2,Konami Digital Entertainment,2006
Brave: A Warriors Tale,Wii,SouthPeak Games,2009
Rooms: The Main Building,Wii,Hudson Soft,2010
Jumble Madness,DS,Destineer,2009
Brain Quest: Grades 3 & 4,DS,Electronic Arts,2008
Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,DS,Square Enix,2008
Fatal Frame,X,Tecmo Koei,2002
Vitamin X to Z,PSP,D3Publisher,2011
Tom Clancys Ghost Recon: Advanced Warfighter,PS2,Ubisoft,2006
Urban Chaos: Riot Response,PS2,Eidos Interactive,2006
Jacqueline Wilsons Tracy Beaker: The Game,DS,P2 Games,2009
Teenage Mutant Ninja Turtles II: Back from the Sewers,G,Konami Digital Entertainment,1991
Ivy the Kiwi?,Wii,Rising Star Games,2010
Honeycomb Beat,DS,Konami Digital Entertainment,2006
Resident Evil 2,GC,Capcom,2003
F1 2015,PC,Codemasters,2015
Real Bout Garou Densetsu Special: Dominated Mind,PS,SNK,1998
Chaos;Child,PSV,5p,2015
Winter Sports 2: The Next Challenge,DS,RTL,2008
Wasteland 2,XOne,Deep Silver,2015
Minna no Sukkiri,PSP,Sony Computer Entertainment,2009
Catwoman,X,Electronic Arts,2004
Aquarium by DS,DS,Mercury Games,2008
The Amazing Spider-Man 2 (2014),WiiU,Activision,2014
MX vs. ATV Supercross Encore,PS4,Nordic Games,2015
Top Gun: Hard Lock,X360,505 Games,2012
Warriors Orochi 2,X360,Tecmo Koei,2008
Mana Khemia: Alchemists of Al-Revis,PS2,Nippon Ichi Software,2007
Flips Twisted World,Wii,Majesco Entertainment,2010
Burning Rangers,SAT,Sega,1998
Saki: Zenkoku-hen,PSV,Kaga Create,2015
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,Takara Tomy,2010
Interplay Sports Baseball 2000,PS,Interplay,1999
Zone of the Enders: The Fist of Mars,GBA,Konami Digital Entertainment,2001
Animorphs: Shattered Reality,PS,Infogrames,2000
Gun Showdown,PSP,Activision,2006
Eikan wa Kimini 2002: Koshien no Kodou,PS2,DigiCube,2002
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,Konami Digital Entertainment,1992
Terminator 3: Rise of the Machines,GBA,Atari,2003
Utawarerumono: Futari no Hakuoro,PS4,Aqua Plus,2016
Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,Sega,2006
G1 Jockey 2,PS2,Tecmo Koei,2000
Tiger Woods PGA Tour 08,DS,Electronic Arts,2007
F1 2016 (Codemasters),PC,Codemasters,2016
Constantine,X,SCi,2005
Tom Clancys Splinter Cell: Double Agent,GC,Ubisoft,2006
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,THQ,2007
Senritsu no Stratus,PSP,Konami Digital Entertainment,2011
Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,Takara Tomy,2009
Gormiti: The Lords of Nature!,DS,Konami Digital Entertainment,2010
Monkey Island: Special Edition Collection,X360,Activision,2011
Samurai Shodown Anthology,Wii,Ignition Entertainment,2008
Nanostray,DS,Majesco Entertainment,2005
MotoGP 15,PS3,Milestone S.r.l.,2015
Tropico 5,X360,Kalypso Media,2014
Wantame Fortune Channel,DS,Capcom,2007
Evangelion: Jo,PSP,Namco Bandai Games,2009
Ataris Greatest Hits: Volume 2,DS,Atari,2011
PAC-MAN and the Ghostly Adventures,WiiU,Namco Bandai Games,2013
Samurai Jack: The Shadow of Aku,PS2,Sega,2004
Bleach: Blade Battlers 2nd,PS2,Sony Computer Entertainment,2007
Kamen Rider Kabuto,PS2,Namco Bandai Games,2006
Men in Black The Series: Crashdown,PS,Infogrames,2001
Zero Divide,PS,Ocean,1995
Winx Club: Quest for the Codex,DS,Konami Digital Entertainment,2006
FIFA Street,GC,Electronic Arts,2005
Real Soccer 2009,DS,Ubisoft,2008
Tsugunai: Atonement,PS2,Sony Computer Entertainment,2001
Rugby World Cup 2015,PS4,Ubisoft,2015
Lost Kingdoms II,GC,Activision,2003
Aggressive Inline,GC,Acclaim Entertainment,2002
Viewtiful Joe: Red Hot Rumble,GC,Capcom,2005
Rugby World Cup 2015,PS3,Ubisoft,2015
X-Men: Destiny,DS,Activision,2011
Blade Dancer: Lineage of Light,PSP,Atari,2006
Kaite Shabette Hajimeyou! Monster Farm DS,DS,Tecmo Koei,2007
The Sims 2: University,PC,Electronic Arts,2005
Ride 2,PS4,Milestone S.r.l,2016
Generation of Chaos,PSP,Midas Interactive Entertainment,2005
Pro Yaky? Spirits 2012,PSV,Konami Digital Entertainment,2012
Batman: A Telltale Game Series,XOne,Telltale Games,2016
Harry Potter and the Sorcerers Stone,PC,Electronic Arts,2001
Broken Sword II: The Smoking Mirror,PS,Sony Computer Entertainment,1997
SD Gundam G Generation Wars,Wii,Namco Bandai Games,2009
World Championship Athletics,Wii,DTP Entertainment,2009
Pump It Up: Exceed,PS2,Mastiff,2005
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,Idea Factory,2012
Adventure Time: Finn & Jake Investigations,WiiU,Little Orbit,2015
Wreckless: ThE YaKuza MisSiOns,GC,Activision,2002
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,D3Publisher,2007
TOCA Race Driver 2: Ultimate Racing Simulator,PS2,Codemasters,2004
Girls RPG: Cinderellife,3DS,Level 5,2012
Dr. Muto,X,Midway Games,2002
Tom Clancys Rainbow Six: Critical Hour,X,Ubisoft,2004
Handball 16,PS4,Bigben Interactive,2015
Scrabble Blast!,GBA,Zoo Digital Publishing,2005
Remember Me,PC,Capcom,2013
Omega Labyrinth,PSV,D3Publisher,2015
Scurge: Hive,DS,SouthPeak Games,2006
Nobunaga no Yabou: Souzou,PS4,Tecmo Koei,2014
Fate/Stay Night [R\xc3\xa9alta Nua],PSV,Kadokawa Shoten,2012
12-Sai. Koisuru Diary,3DS,Happinet,2016
Gintama no Sugoroku,PSP,Namco Bandai Games,2013
Men of War: Assault Squad,PC,1C Company,2011
The Lord of the Rings: Aragorns Quest,PS2,Warner Bros. Interactive Entertainment,2010
NHL Legacy,PS3,Electronic Arts,2015
Myst,SAT,Sunsoft,1994
Doraemon 4: Nobita to Toki no Okoku,SNES,Epoch,1995
Winx Club: Mission Enchantix,DS,Konami Digital Entertainment,2008
Toaru Kagaku no Chou Denjihou,PSP,Kadokawa Shoten,2011
Starwinder: The Ultimate Space Race,PS,Mindscape,1996
Dead or Alive Xtreme 3: Fortune,PS4,Tecmo Koei,2016
Challenge Me: Brain Puzzles 2,Wii,O-Games,2010
Angelique Trois,PS2,Tecmo Koei,2000
Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,Alchemist,2015
Zendoku,DS,Eidos Interactive,2007
Dance Dance Revolution: Mario Mix (JP sales),GC,Nintendo,2005
Champion Jockey: G1 Jockey & Gallop Racer,X360,Tecmo Koei,2011
FIFA Soccer 06,DS,Electronic Arts,2005
A-Train 6,PS2,Midas Interactive Entertainment,2000
Shantae and the Pirates Curse,3DS,Rising Star Games,2015
Meitantei Conan: Tantei Ryoku Trainer,DS,Namco Bandai Games,2007
Sesame Street: Cookies Counting Carnival,PC,Warner Bros. Interactive Entertainment,2010
MotoGP,GBA,THQ,2002
"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!",DS,Konami Digital Entertainment,2009
ESPN International Winter Sports 2002,PS2,Konami Digital Entertainment,2002
Dino Pets,DS,Avanquest,2009
KimiKiss (ebKore+),PS2,Enterbrain,2008
